2016-03-20 11:18:54 install libpam0g:armhf <none> 1.1.8-3.2
2016-03-20 11:18:54 status half-installed libpam0g:armhf 1.1.8-3.2
2016-03-20 11:18:55 status unpacked libpam0g:armhf 1.1.8-3.2
2016-03-20 11:18:55 status unpacked libpam0g:armhf 1.1.8-3.2
2016-03-20 11:18:55 install libpcre3:armhf <none> 2:8.38-3
2016-03-20 11:18:55 status half-installed libpcre3:armhf 2:8.38-3
2016-03-20 11:18:55 status unpacked libpcre3:armhf 2:8.38-3
2016-03-20 11:18:55 status unpacked libpcre3:armhf 2:8.38-3
2016-03-20 11:18:55 install libseccomp2:armhf <none> 2.2.3-3
2016-03-20 11:18:55 status half-installed libseccomp2:armhf 2.2.3-3
2016-03-20 11:18:56 status unpacked libseccomp2:armhf 2.2.3-3
2016-03-20 11:18:56 status unpacked libseccomp2:armhf 2.2.3-3
2016-03-20 11:18:56 install libselinux1:armhf <none> 2.4-3+b1
2016-03-20 11:18:56 status half-installed libselinux1:armhf 2.4-3+b1
2016-03-20 11:18:56 status unpacked libselinux1:armhf 2.4-3+b1
2016-03-20 11:18:56 status unpacked libselinux1:armhf 2.4-3+b1
2016-03-20 11:18:56 install libsemanage-common:all <none> 2.4-3
2016-03-20 11:18:56 status half-installed libsemanage-common:all 2.4-3
2016-03-20 11:18:56 status unpacked libsemanage-common:all 2.4-3
2016-03-20 11:18:56 status unpacked libsemanage-common:all 2.4-3
2016-03-20 11:18:57 install libsemanage1:armhf <none> 2.4-3+b1
2016-03-20 11:18:57 status half-installed libsemanage1:armhf 2.4-3+b1
2016-03-20 11:18:57 status unpacked libsemanage1:armhf 2.4-3+b1
2016-03-20 11:18:57 status unpacked libsemanage1:armhf 2.4-3+b1
2016-03-20 11:18:57 install libsepol1:armhf <none> 2.4-2
2016-03-20 11:18:57 status half-installed libsepol1:armhf 2.4-2
2016-03-20 11:18:57 status unpacked libsepol1:armhf 2.4-2
2016-03-20 11:18:57 status unpacked libsepol1:armhf 2.4-2
2016-03-20 11:18:57 install libsmartcols1:armhf <none> 2.27.1-5kali1
2016-03-20 11:18:57 status half-installed libsmartcols1:armhf 2.27.1-5kali1
2016-03-20 11:18:58 status unpacked libsmartcols1:armhf 2.27.1-5kali1
2016-03-20 11:18:58 status unpacked libsmartcols1:armhf 2.27.1-5kali1
2016-03-20 11:18:58 install libss2:armhf <none> 1.42.13-1
2016-03-20 11:18:58 status half-installed libss2:armhf 1.42.13-1
2016-03-20 11:18:58 status unpacked libss2:armhf 1.42.13-1
2016-03-20 11:18:58 status unpacked libss2:armhf 1.42.13-1
2016-03-20 11:18:58 install libsystemd0:armhf <none> 229-2
2016-03-20 11:18:58 status half-installed libsystemd0:armhf 229-2
2016-03-20 11:18:58 status unpacked libsystemd0:armhf 229-2
2016-03-20 11:18:58 status unpacked libsystemd0:armhf 229-2
2016-03-20 11:18:59 install libtext-charwidth-perl:armhf <none> 0.04-7+b5
2016-03-20 11:18:59 status half-installed libtext-charwidth-perl:armhf 0.04-7+b5
2016-03-20 11:18:59 status unpacked libtext-charwidth-perl:armhf 0.04-7+b5
